SYMBOL,DART_TOTAL,DAYS,DART_AVG
EICHERMOT,1946.6992,3.0,648.8997
ZUARI,14.500008,3.0,4.833336
ONEPOINT,2.4499989,3.0,0.8166663
ABSLFTSLRG,0.0,1.0,0.0
HPIL,1.8499985,3.0,0.61666614
RTNINFRA,0.30000043,3.0,0.10000014
BBL,72.75,3.0,24.25
ASHIANA,11.400002,3.0,3.8000004
SPIC,4.25,3.0,1.4166666
CHROMATIC,0.19999999,3.0,0.06666666
SUMMITSEC,59.100006,3.0,19.700003
JSL,6.9000015,3.0,2.3000004
ASHOKLEY,6.399994,3.0,2.1333313
ATFL,97.400024,3.0,32.466675
BCG,0.39999962,3.0,0.1333332
JAICORPLTD,11.850006,3.0,3.950002
LAKPRE,0.0,1.0,0.0
BCP,4.200001,3.0,1.4000002
WSTCSTPAPR,15.350006,3.0,5.1166687
SUTLEJTEX,3.7999992,3.0,1.2666664
DPSCLTD,1.4499993,3.0,0.4833331
L&TFH,9.399994,3.0,3.1333313
CURATECH,0.0,1.0,0.0
SHRIPISTON,42.450012,3.0,14.150004
ANSALAPI,0.75,3.0,0.25
KELLTONTEC,6.049999,3.0,2.0166664
TARACHAND,2.5499992,1.0,2.5499992
BDL,40.100006,3.0,13.366669
DENORA,25.300003,3.0,8.433334
TIMETECHNO,6.6000023,3.0,2.2000008
TEXINFRA,11.700001,3.0,3.9000003
MARATHON,23.199997,3.0,7.733332
ZUARIGLOB,7.9000015,3.0,2.633334
SUPERSPIN,0.5999999,3.0,0.19999997
RAJSREESUG,5.950001,3.0,1.9833336
SFL,124.400024,3.0,41.466675
SUNDRMBRAK,60.50003,3.0,20.166677
STCINDIA,6.0,3.0,2.0
AVTNPL,6.0,3.0,2.0
BEL,13.699997,3.0,4.5666656
DHFL,190.08,23.0,8.264348
SURANASOL,1.8500004,3.0,0.6166668
BUTTERFLY,58.449997,3.0,19.483332
VERTOZ,0.0,1.0,0.0
SGL,1.250001,3.0,0.41666698
CREDITACC,120.00006,3.0,40.00002
LOKESHMACH,6.500004,3.0,2.166668
GULFPETRO,12.049999,3.0,4.0166664
MINDTECK,4.3999996,3.0,1.4666666
RAMSARUP,0.0,1.0,0.0
SGBJUN27,0.0,1.0,0.0
DBSTOCKBRO,0.0,3.0,0.0
HINDCOPPER,4.299999,3.0,1.433333
SHK,10.449997,3.0,3.4833324
SALONA,9.25,3.0,3.0833333
UVSL,0.15,3.0,0.05
PKTEA,31.199997,3.0,10.399999
KOTAKPSUBK,10.050003,3.0,3.350001
NIACL,17.5,3.0,5.8333335
PSUBNKBEES,2.5200024,3.0,0.8400008
769GS2043,0.0,1.0,0.0
KAUSHALYA,0.20000002,3.0,0.06666667
SIGIND,2.9000034,3.0,0.96666783
SONAMCLOCK,0.0,1.0,0.0
PRADIP,0.15000004,3.0,0.050000012
TORNTPOWER,29.450012,3.0,9.81667
ONWARDTEC,4.8499985,3.0,1.6166662
BHAGERIA,16.299995,3.0,5.433332
URJA,0.20000017,3.0,0.06666672
BLISSGVS,9.799988,3.0,3.2666626
SIL,1.9000015,3.0,0.63333386
OAL,31.34999,3.0,10.449997
SIS,113.55002,3.0,37.850006
BBTCL,0.5,1.0,0.5
ALLCARGO,12.5,3.0,4.1666665
OLECTRA,17.0,3.0,5.6666665
BHANDARI,0.30000007,3.0,0.100000024
TATACOMM,55.200012,3.0,18.400003
REFEX,5.1499977,3.0,1.7166659
APCL,29.09999,3.0,9.699997
JUBLFOOD,211.55005,3.0,70.516685
WESTLIFE,44.049988,3.0,14.68333
SWANENERGY,18.450005,3.0,6.1500015
JSWSTEEL,23.200018,6.0,3.8666697
M&MFIN,58.390015,8.0,7.298752
OSWALAGRO,2.2499995,3.0,0.7499998
SOMATEX,0.49999976,3.0,0.16666658
HIMATSEIDE,10.899994,3.0,3.6333313
V2RETAIL,20.299995,3.0,6.766665
HAVELLS,36.44995,3.0,12.149983
BIL,27.649994,3.0,9.216664
JMTAUTOLTD,0.100000024,3.0,0.033333343
WSI,0.049999952,3.0,0.01666665
BILENERGY,0.19999999,3.0,0.06666666
VMART,162.90002,3.0,54.300007
FLUOROCHEM,47.900024,3.0,15.966675
ANDPAPER,45.399994,3.0,15.133331
JVLAGRO,0.15000004,3.0,0.050000012
JISLDVREQS,1.4500003,3.0,0.48333344
ORIENTPPR,2.4500008,3.0,0.8166669
PGEL,11.099998,3.0,3.6999996
PANAMAPET,9.050003,3.0,3.0166676
SETFNIFBK,10.01001,3.0,3.33667
SHRIRAMEPC,0.75,3.0,0.25
UFLEX,18.449997,3.0,6.149999
GESHIP,42.55005,3.0,14.18335
GODREJAGRO,44.900024,3.0,14.966675
IVZINGOLD,34.0,2.0,17.0
BAYERCROP,156.3999,3.0,52.1333
NATCOPHARM,53.400024,3.0,17.800009
PNBGILTS,1.2500019,3.0,0.4166673
PGHH,979.2998,3.0,326.43326
SASKEN,81.20001,3.0,27.066671
WATERBASE,17.84999,3.0,5.949997
MONTECARLO,25.149994,3.0,8.383331
RKFORGE,41.75003,3.0,13.9166765
BFUTILITIE,43.75,3.0,14.583333
ICICIB22,1.9700012,3.0,0.65666705
FSC,36.25003,3.0,12.0833435
